ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2022-03-08T20:59:59-07:00,"Monday, Mar 7, 2022","Tuesday, Mar 8, 2022",2022-03-07 21:25:00,2022-03-08 06:31:00,09:06:00,00:51:00,00:00:00,1,08:15:00,07:38:08,90.7,92.8,05:23:05,05:32:28,01:27:21,02:23:47,58.9,59.8,66.5,68.7,55.0,59.3,,,30,36,,,,,,,,
2022-03-09T20:59:59-07:00,"Tuesday, Mar 8, 2022","Wednesday, Mar 9, 2022",2022-03-08 21:55:00,2022-03-09 06:47:00,08:52:00,00:16:00,00:00:00,1,08:36:00,07:45:42,97.0,94.1,05:55:55,05:29:07,01:31:04,02:08:54,59.7,60.1,68.2,68.2,58.0,59.6,,,44,33,,,,,,,,
2022-03-10T20:59:59-07:00,"Wednesday, Mar 9, 2022","Thursday, Mar 10, 2022",2022-03-09 21:27:00,2022-03-10 06:49:00,09:52:00,00:57:00,00:00:00,2,08:55:00,07:48:51,89.9,92.8,06:39:59,05:28:22,02:28:32,02:08:04,58.8,60.2,70.6,68.5,59.0,59.3,47,42,31,33,,,,,,,,
2022-03-11T20:59:59-07:00,"Thursday, Mar 10, 2022","Friday, Mar 11, 2022",2022-03-10 21:22:00,2022-03-11 06:50:00,09:28:00,00:58:00,00:00:00,1,08:30:00,07:55:34,89.8,93.3,06:45:47,05:43:37,03:05:27,02:07:55,58.5,60.0,76.5,69.3,57.0,59.0,40,40,25,32,,,,,,,,
2022-03-12T20:59:59-07:00,"Friday, Mar 11, 2022","Saturday, Mar 12, 2022",2022-03-11 22:30:00,2022-03-12 06:35:00,09:30:00,01:12:00,00:00:00,2,08:18:00,07:54:08,88.5,93.0,06:42:46,05:50:01,02:20:55,02:19:30,66.3,60.6,72.1,69.8,66.0,59.5,,,19,31,,,,,,,,
2022-03-13T21:59:59-06:00,"Saturday, Mar 12, 2022","Sunday, Mar 13, 2022",2022-03-12 21:53:00,2022-03-13 07:15:00,08:22:00,00:00:00,00:00:00,1,08:22:00,08:40:08,100.0,93.0,07:15:44,06:30:20,04:02:21,02:38:44,56.2,59.2,69.4,69.7,57.0,58.0,,,45,34,,,,,,,,
2022-03-14T20:59:59-06:00,"Sunday, Mar 13, 2022","Monday, Mar 14, 2022",2022-03-13 22:01:00,2022-03-14 07:11:00,09:10:00,01:37:00,00:00:00,1,07:33:00,08:21:17,82.4,91.2,05:42:25,06:20:49,01:49:21,02:23:34,58.5,59.6,66.4,70.0,53.0,57.9,,,31,32,,,,,,,,
2022-03-15T20:59:59-06:00,"Monday, Mar 14, 2022","Tuesday, Mar 15, 2022",2022-03-14 23:00:00,2022-03-15 07:10:00,08:40:00,00:54:00,00:00:00,2,07:46:00,08:17:08,89.0,90.9,06:25:49,06:29:46,02:35:43,02:33:20,55.4,59.1,67.5,70.1,55.0,57.9,,,36,33,,,,,,,,
2022-03-16T20:59:59-06:00,"Tuesday, Mar 15, 2022","Wednesday, Mar 16, 2022",2022-03-15 21:24:00,2022-03-16 07:06:00,09:42:00,01:05:00,00:00:00,1,08:37:00,08:17:17,88.8,89.8,07:02:21,06:39:16,03:08:00,02:47:11,56.0,58.5,66.4,69.9,59.0,58.0,,,35,32,,,,,,,,
2022-03-17T20:59:59-06:00,"Wednesday, Mar 16, 2022","Thursday, Mar 17, 2022",2022-03-16 21:20:00,2022-03-17 06:53:00,09:33:00,01:33:00,00:00:00,1,08:00:00,08:09:25,83.8,88.9,05:45:30,06:31:29,02:00:00,02:43:06,58.5,58.5,72.2,70.1,56.0,57.6,,,33,32,,,,,,,,
2022-03-18T20:59:59-06:00,"Thursday, Mar 17, 2022","Friday, Mar 18, 2022",2022-03-17 23:30:00,2022-03-18 07:06:00,07:36:00,00:28:00,00:00:00,1,07:08:00,07:57:42,93.9,89.5,05:47:05,06:23:06,02:38:31,02:39:15,62.7,59.1,75.3,69.9,58.0,57.7,,,29,33,,,,,,,,
2022-03-19T20:59:59-06:00,"Friday, Mar 18, 2022","Saturday, Mar 19, 2022",2022-03-18 22:44:00,2022-03-19 07:53:00,09:09:00,00:38:00,00:00:00,1,08:31:00,07:59:34,93.1,90.1,07:20:52,06:28:32,03:52:16,02:52:18,61.4,58.4,72.3,69.9,57.0,56.4,,,36,35,,,,,,,,
